Poids,Poids1,nou1,r36a,r36ab,r36,q27_i1,q27_i2,q27_i3,q27_i16,q27_i13,n43_i4,n43_i5,n43_i6,nou10_i4,nou10_i2,q27_i8,q27_i17,q27_i14,q31,q32,nou10_i1,nou7
1.049244,0.7171639,5,1,5,7,4,3,4,3,2,2,3,2,2,4,2,4,3,2,2,2,1
0.9467089,1.0713416,8,1,7,7,4,3,2,4,2,3,3,2,3,3,2,3,2,3,2,2,1
0.9719698,0.99259,7,1,7,7,4,3,4,4,2,2,4,2,3,4,1,3,3,4,2,2,1
1.0421098,0.7941079,3,1,5,4,4,5,4,2,3,3,4,2,3,4,2,5,3,2,2,3,2
0.9282832,0.5827908,1,1,4,5,4,4,4,2,3,3,4,1,4,4,4,1,4,1,1,4,2
0.9825804,1.0818036,10,1,7,7,1,1,1,4,1,1,1,4,2,4,1,2,2,4,3,1,2
0.9744866,1.0446591,8,1,7,7,4,1,3,4,1,1,4,2,4,4,1,4,2,3,2,1,1
0.9744866,1.9267184,2,3,14,12,4,3,4,1,2,4,4,2,4,4,3,2,3,2,1,4,3
0.9285458,0.9819741,2,1,3,3,4,3,4,3,2,4,4,2,4,4,2,3,4,3,1,4,2
0.9851317,1.0518546,5,1,3,3,4,1,4,4,1,4,4,1,1,4,1,1,1,4,1,4,1
0.9908339,1.0005407,7,1,7,7,3,2,3,2,3,1,2,3,4,4,2,3,3,4,3,1,1
0.8869581,0.9117213,5,1,7,7,4,3,4,3,2,2,3,2,3,4,2,4,3,3,2,2,1
0.9919351,0.9842125,8,1,7,7,3,1,3,3,2,1,1,4,2,3,2,3,2,3,2,2,1
0.9967553,0.7781432,5,1,5,5,4,4,4,4,2,2,4,1,4,4,2,1,2,2,1,1,2
1.026355,0.8405328,7,1,5,7,4,2,3,3,2,2,2,2,4,4,2,4,3,4,2,2,1
0.9235314,0.7452369,2,1,5,4,4,4,4,2,3,3,3,2,4,4,3,2,4,3,1,3,1
1.0148205,1.0207522,7,1,7,6,3,1,3,3,1,1,3,2,3,4,1,3,3,4,1,1,1
0.982778,1.1387026,2,1,3,4,4,3,4,3,2,3,4,2,2,4,3,2,4,3,1,4,1
0.9939981,2.057111,5,4,16,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1.0988687,2.0224931,5,1,12,11,1,1,1,4,1,1,1,4,1,4,5,1,2,3,1,4,2
0.9744866,1.9267184,1,4,16,14,4,4,4,1,4,4,4,2,4,4,4,1,4,2,1,4,2
0.9986323,1.1062399,1,1,3,3,3,3,4,3,2,3,3,2,4,4,3,2,3,2,1,4,2
1.0801702,0.7870561,7,1,5,7,2,3,4,2,2,2,4,2,2,4,2,3,3,3,1,2,1
0.9258747,0.9302927,99,1,7,8,2,2,2,4,1,1,5,3,2,4,2,3,2,3,3,5,3
0.9744866,1.0446591,8,1,7,7,5,1,2,4,1,1,3,3,1,3,1,2,2,2,1,2,1
0.9742907,0.7537826,2,1,5,4,4,4,1,4,2,2,2,1,3,4,2,1,4,3,2,2,2
0.9694821,0.7031465,5,1,5,4,4,3,4,2,3,3,3,2,3,4,2,2,2,3,3,2,1
1.0761379,1.1834422,3,1,3,4,1,1,4,2,2,1,2,3,2,4,2,1,2,2,1,4,1
0.996555,1.1088461,3,1,3,3,4,3,3,3,2,2,3,2,3,3,3,2,2,2,4,3,2
0.9458172,0.7348452,7,1,5,7,4,3,3,3,2,3,3,2,3,3,2,2,2,3,2,2,1
0.9967553,1.0700281,5,1,7,8,3,2,2,4,3,1,2,3,1,4,1,3,3,3,2,2,1
0.9744866,1.0446591,8,1,7,7,1,1,1,4,2,1,1,4,2,4,1,4,2,4,3,2,1
0.9456271,1.002625,8,1,7,7,2,1,3,3,2,2,2,3,1,3,1,3,2,3,1,1,1
1.0108759,1.0171443,7,1,9,9,4,2,4,4,1,1,4,3,2,1,2,3,1,3,2,2,1
0.9819573,0.6054016,0,1,4,5,4,4,4,4,3,3,4,2,3,4,4,2,3,2,1,4,2
0.9939981,1.1153575,8,1,7,7,4,3,4,1,3,2,3,3,3,4,1,4,2,4,2,2,1
0.9873739,0.5880244,5,1,4,4,4,4,4,2,3,3,4,1,3,4,4,3,4,3,2,3,1
0.9784043,0.6306424,2,1,4,4,4,3,4,5,2,4,4,2,3,4,4,2,3,2,1,3,2
0.8797467,0.722492,3,1,5,4,4,3,4,1,5,3,4,2,4,4,3,2,4,2,1,4,2
0.9742907,0.7537826,4,1,5,5,4,2,4,2,2,2,4,2,2,4,3,2,3,2,2,2,1
0.9778288,0.9950436,7,1,7,7,2,2,3,4,2,2,1,4,2,2,2,4,2,4,2,1,1
1.0388494,0.7958709,5,1,5,4,3,3,4,2,2,3,4,2,3,3,2,3,2,3,1,3,1
1.4934647,1.0255648,6,1,5,7,4,2,4,2,3,2,3,2,4,4,2,2,2,2,1,2,1
0.9967553,0.7781432,5,1,5,6,4,2,4,1,4,2,4,2,3,4,2,4,2,4,2,2,1
0.9467089,1.0713416,3,1,7,4,4,4,4,2,3,2,3,2,3,4,1,3,3,4,2,2,1
1.0686209,0.8149059,5,1,5,4,3,2,4,2,2,1,3,2,3,2,2,3,1,2,1,2,1
1.0775971,0.6056348,4,1,4,4,4,2,3,3,2,1,2,3,3,3,3,2,3,3,1,3,1
0.9614139,0.9820107,8,1,7,11,1,3,2,3,1,1,2,3,1,4,2,2,2,2,2,3,2
1.0261487,0.8339918,8,1,5,7,2,2,3,3,3,2,4,2,3,4,2,3,3,2,2,3,1
1.3189358,0.9113488,5,1,5,4,4,3,4,2,2,3,5,2,4,4,3,2,3,2,1,3,1
1.0511602,0.902979,4,1,8,7,2,2,3,2,2,1,2,3,2,4,3,2,3,3,1,2,1
