pays,poids1,nou1,v0t1,t12022,r36b,q27_i2,q27_i22,q27_i31,q27_i32,q27_i8,q27_i14,q27_i23,q31bv15_i4
1,0.6010377,5.0,1.0,7.0,5.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0
1,0.6780141,7.0,1.0,6.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0
1,0.6879069,6.0,1.0,7.0,5.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0
1,0.8554787,4.0,1.0,7.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0
1,0.9326988,1.0,1.0,6.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0
1,0.9785325,3.0,1.0,7.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
1,1.3202946,2.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0
1,1.377202,3.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0
1,1.3996804,1.0,1.0,4.0,3.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,1.0
1,2.7559187,99.0,1.0,,,,1.0,,1.0,4.0,2.0,4.0,3.0
1,1.0933285,6.0,1.0,7.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0
1,0.6971346,2.0,1.0,6.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0
1,1.2571822,3.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0
1,0.5357494,8.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0
1,0.8684618,5.0,1.0,7.0,5.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0
1,0.9915049,99.0,1.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
